columna,nulos,porcentaje
id_inscripcion,0,0.0
id_estudiante,0,0.0
codigo_asignatura,0,0.0
nombre_asignatura,0,0.0
seccion,0,0.0
semestre,0,0.0
anio,0,0.0
docente,0,0.0
nombre,0,0.0
rut,0,0.0
carrera,0,0.0
sede,0,0.0
anio_ingreso,0,0.0
email,0,0.0
estado_matricula,0,0.0
nota_promedio,0,0.0
nota_minima,0,0.0
nota_maxima,0,0.0
cantidad_evaluaciones,0,0.0
ponderacion_total,0,0.0
nota_final_ponderada,0,0.0
total_clases,0,0.0
presentes,0,0.0
ausentes,0,0.0
justificados,0,0.0
tardanzas,0,0.0
tasa_asistencia,0,0.0
carga_asignaturas,0,0.0
antiguedad_ingreso,0,0.0
resultado_academico,0,0.0
riesgo_academico,0,0.0
aprobado,0,0.0
